Spielzeit;DrehRichtung;Zahl;Geschwindigkeit;gr. Serie;kl. Serie;Orphelins;Im-/Pair;Kolonne;Manque / Passe
26.02.18 21:52;L;9;16;FALSCH;FALSCH;WAHR;1;3;1
26.02.18 21:53;R;6;15;FALSCH;FALSCH;WAHR;2;3;1
26.02.18 21:55;L;22;17;WAHR;FALSCH;FALSCH;2;1;2
26.02.18 21:56;R;30;15;FALSCH;WAHR;FALSCH;2;3;2
26.02.18 21:58;L;17;16;FALSCH;FALSCH;WAHR;1;2;1
26.02.18 21:59;R;18;14;WAHR;FALSCH;FALSCH;2;3;1
26.02.18 22:00;L;22;17;WAHR;FALSCH;FALSCH;2;1;2
26.02.18 22:01;R;11;15;FALSCH;WAHR;FALSCH;1;2;1
26.02.18 22:02;L;30;18;FALSCH;WAHR;FALSCH;2;3;2
26.02.18 22:03;R;12;18;WAHR;FALSCH;FALSCH;2;3;1
26.02.18 22:05;L;19;18;WAHR;FALSCH;FALSCH;1;1;2
26.02.18 22:06;R;13;17;FALSCH;WAHR;FALSCH;1;1;1
26.02.18 22:07;L;7;18;WAHR;FALSCH;FALSCH;1;1;1
26.02.18 22:08;R;29;18;WAHR;FALSCH;FALSCH;1;2;2
26.02.18 22:09;L;1;18;FALSCH;FALSCH;WAHR;1;1;1
26.02.18 22:10;R;30;18;FALSCH;WAHR;FALSCH;2;3;2
26.02.18 22:11;L;10;18;FALSCH;WAHR;FALSCH;2;1;1
26.02.18 22:12;R;2;18;WAHR;FALSCH;FALSCH;2;2;1
26.02.18 22:14;L;30;18;FALSCH;WAHR;FALSCH;2;3;2
26.02.18 22:15;R;1;18;FALSCH;FALSCH;WAHR;1;1;1
26.02.18 22:16;L;0;18;WAHR;FALSCH;FALSCH;0;0;0
26.02.18 22:17;R;5;18;FALSCH;WAHR;FALSCH;1;2;1
26.02.18 22:18;L;16;19;FALSCH;WAHR;FALSCH;2;1;1
26.02.18 22:20;R;20;16;FALSCH;FALSCH;WAHR;2;2;2
26.02.18 22:21;L;5;18;FALSCH;WAHR;FALSCH;1;2;1
26.02.18 22:22;R;16;18;FALSCH;WAHR;FALSCH;2;1;1
26.02.18 22:23;L;1;19;FALSCH;FALSCH;WAHR;1;1;1
26.02.18 22:24;R;29;18;WAHR;FALSCH;FALSCH;1;2;2
26.02.18 22:26;L;15;18;WAHR;FALSCH;FALSCH;1;3;1
26.02.18 22:27;R;29;18;WAHR;FALSCH;FALSCH;1;2;2
26.02.18 22:28;L;30;19;FALSCH;WAHR;FALSCH;2;3;2
26.02.18 22:31;R;2;18;WAHR;FALSCH;FALSCH;2;2;1
26.02.18 22:32;L;25;16;WAHR;FALSCH;FALSCH;1;1;2
26.02.18 22:33;R;25;16;WAHR;FALSCH;FALSCH;1;1;2
26.02.18 22:35;L;36;16;FALSCH;WAHR;FALSCH;2;3;2
26.02.18 22:36;R;25;17;WAHR;FALSCH;FALSCH;1;1;2
26.02.18 22:38;L;29;17;WAHR;FALSCH;FALSCH;1;2;2
26.02.18 22:40;R;20;16;FALSCH;FALSCH;WAHR;2;2;2
26.02.18 22:42;L;34;18;FALSCH;FALSCH;WAHR;2;1;2
26.02.18 22:44;R;26;16;WAHR;FALSCH;FALSCH;2;2;2
26.02.18 22:45;L;3;16;WAHR;FALSCH;FALSCH;1;3;1
26.02.18 22:47;R;19;18;WAHR;FALSCH;FALSCH;1;1;2
26.02.18 22:49;L;11;20;FALSCH;WAHR;FALSCH;1;2;1
26.02.18 22:50;R;4;17;WAHR;FALSCH;FALSCH;2;1;1
26.02.18 22:52;L;13;17;FALSCH;WAHR;FALSCH;1;1;1
26.02.18 22:53;R;5;17;FALSCH;WAHR;FALSCH;1;2;1
26.02.18 22:55;L;5;19;FALSCH;WAHR;FALSCH;1;2;1
26.02.18 22:57;R;23;17;FALSCH;WAHR;FALSCH;1;2;2
26.02.18 22:59;L;26;18;WAHR;FALSCH;FALSCH;2;2;2
26.02.18 23:01;R;29;18;WAHR;FALSCH;FALSCH;1;2;2
26.02.18 23:04;L;8;18;FALSCH;WAHR;FALSCH;2;2;1
26.02.18 23:06;R;3;18;WAHR;FALSCH;FALSCH;1;3;1
26.02.18 23:08;L;18;18;WAHR;FALSCH;FALSCH;2;3;1
26.02.18 23:09;R;16;17;FALSCH;WAHR;FALSCH;2;1;1
26.02.18 23:11;L;17;20;FALSCH;FALSCH;WAHR;1;2;1
26.02.18 23:13;R;35;17;WAHR;FALSCH;FALSCH;1;2;2
26.02.18 23:14;L;24;19;FALSCH;WAHR;FALSCH;2;3;2
26.02.18 23:17;R;9;15;FALSCH;FALSCH;WAHR;1;3;1
26.02.18 23:18;L;22;16;WAHR;FALSCH;FALSCH;2;1;2
26.02.18 23:19;R;15;16;WAHR;FALSCH;FALSCH;1;3;1
26.02.18 23:20;L;8;16;FALSCH;WAHR;FALSCH;2;2;1
26.02.18 23:21;R;10;16;FALSCH;WAHR;FALSCH;2;1;1
26.02.18 23:22;L;28;16;WAHR;FALSCH;FALSCH;2;1;2
26.02.18 23:24;R;2;16;WAHR;FALSCH;FALSCH;2;2;1
26.02.18 23:26;L;30;16;FALSCH;WAHR;FALSCH;2;3;2
26.02.18 23:27;R;10;18;FALSCH;WAHR;FALSCH;2;1;1
26.02.18 23:29;L;2;16;WAHR;FALSCH;FALSCH;2;2;1
26.02.18 23:30;R;16;16;FALSCH;WAHR;FALSCH;2;1;1
26.02.18 23:32;L;0;16;WAHR;FALSCH;FALSCH;0;0;0
26.02.18 23:33;R;0;18;WAHR;FALSCH;FALSCH;0;0;0
26.02.18 23:35;L;27;20;FALSCH;WAHR;FALSCH;1;3;2
26.02.18 23:36;R;22;17;WAHR;FALSCH;FALSCH;2;1;2
26.02.18 23:37;L;31;18;FALSCH;FALSCH;WAHR;1;1;2
26.02.18 23:39;R;21;18;WAHR;FALSCH;FALSCH;1;3;2
26.02.18 23:40;L;26;18;WAHR;FALSCH;FALSCH;2;2;2
26.02.18 23:41;R;5;17;FALSCH;WAHR;FALSCH;1;2;1
26.02.18 23:43;L;4;19;WAHR;FALSCH;FALSCH;2;1;1
26.02.18 23:44;R;2;19;WAHR;FALSCH;FALSCH;2;2;1
26.02.18 23:46;L;11;20;FALSCH;WAHR;FALSCH;1;2;1
26.02.18 23:47;R;7;17;WAHR;FALSCH;FALSCH;1;1;1
